Date,Baton,Gun,Hands,K9,OC,Taser,Sage,Misc,Nature of Case,Violation Charged #1,#2,#3,#4,#5,SNspect INjNred,Officer Injured,Proper Procedure,,,,,,,,,,,,,,,,,,,,,,,,,
10/8/04,N,N,Y,N,N,N,N,Y,602.1,5150,,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
10/8/04,N,N,Y,N,N,N,415,594,415,647(t),148(a)(l),,69,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,,
10/9/04,N,N,Y,N,Y,Y,N,N,273.5(a),273.5(a),,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
10/9/04,N,N,Y,N,N,N,N,N,459,459,,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
10/9/04,N,N,N,N,N,Y,N,N,273.5,273.5,166.4,,,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
10/11/04,N,N,Y,N,N,Y,N,Y,10851(a),10851(a),12500(a),,,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
10/11/04,N,N,Y,N,N,N,N,Y,Susp person,243(b),,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
10/12/04,N,N,N,N,N,Y,N,N,496(a),148(a)(l),2800.1,,,,Y,Y,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
10/12/04,N,N,N,N,N,Y,N,N,10851(a) 1085l(a),,2800.2(a),12500(a),20001(a),,Y,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,
10/12/04,N,N,Y,N,N,N,N,N,243(e)(l),243(e)(l),,,,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
10/13/04,N,N,Y,N,N,N,N,N,23109(a),23109(a),16028(a),14601.l(a),,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
10/14/04,N,N,N,N,N,Y,N,N,415,148(a)(l),602.5(b),,,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
10/14/04,N,N,N,N,N,Y,N,Y,415,148.9,148(a),,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
10/15/04,N,N,Y,N,N,Y,N,Y,647(t),647(t),,,,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
10/15/04,N,N,Y,N,N,N,N,N,626.8(a),626.8(a),,,,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
10/16/04,Y,N,N,N,N,Y,N,N,Susp vehicle 24l(b),148(a)(l),,,,,Y,N, ,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/04,N,N,Y,N,N,N,N,N,243.6 243.6,241.2(a),,1203.2,,,N,N, ,,,,,,,,,,,,,,,,,,,,,,,,,
10/27/04,N,N,Y,N,N,Y,N,N,470(d) Warrant,,,,,,Y,N, ,,,,,,,,,,,,,,,,,,,,,,,,,
10/28/04,N,N,N,N,N,N,N,N,459 459,646.9,,243(c)(2),,,N,N, ,,,,,,,,,,,,,,,,,,,,,,,,,
10/28/04,N,N,N,N,N,N,N,N,243(e)(l) 243(e)(l),,,,,,N,N, ,,,,,,,,,,,,,,,,,,,,,,,,,
10/29/04,N,N,Y,N,N,Y,N,N,Susp person 459,496(a),,,,,N,N, ,,,,,,,,,,,,,,,,,,,,,,,,,
0/30/2004,N,N,N,N,N,N,N,N,Warrant 148(a)(l),,,,,,N,N, ,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/04,N,N,Y,N,N,N,N,Y,415 243(b),148(a)(l),,,,,N,, ,,,,,,,,,,,,,,,,,,,,,,,,,
11/2/04,N,N,N,N,N,N,N,Y,Medical,,,,,N,N, ,,,,,,,,,,,,,,,,,,,,,,,,,,
9/24/04,Y,N,N,N,N,Y,N,N,26710,148(a)(l),11377,11378,11379,,Y,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,
11/4/04,N,N,N,N,n N,N,N,602(0) 602(0),148(aXI),,,,,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,,,
10/4/04,N,N,N,N,N,Y,N,Y,11351,11351.5,11378,11532,135,,Y,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,
11/12/04,N,N,N,Y,N,N,N,N,21202(a) 487,11377,,1203.2,11357(b),,Y,N, ,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/04,N,N,N,N,N,N,N,N,417 148(a)(l),,,,,,N,N, ,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/04,Y,N,Y,N,N,N,N,N,459 23152(a)(b),148(a)(l),,243(b),,,N,N, ,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/04,N,N,N,N,N,N,N,N,Warrant 148(a)(l),,,,,,,N, ,,,,,,,,,,,,,,,,,,,,,,,,,
11/20/04,N,N,N,N, N,N,N,21800(a) 148(a)(l),12500(a),,16028(a),21800(a),,,N, ,,,,,,,,,,,,,,,,,,,,,,,,,,
1/20/04,N,N,N,N,N,N,N,N,4000(a) 148(a)(l),3056,,12500(a),,,,N, ,,,,,,,,,,,,,,,,,,,,,,,,,
11/20/04,N,N,N,N,N,N,N,Y,DUI chckpt 243(c)(l),23152(a)(b),,148(a)(l),12500(a),,,Y, ,,,,,,,,,,,,,,,,,,,,,,,,,
11/21/04,N,N,N,N,N,N,N,N,211 211,,,,,,,N, ,,,,,,,,,,,,,,,,,,,,,,,,,
l,l/21/2004,N,N,N,N,N,N,N,Y,211 148(a)(l),,,,,,N,N, ,,,,,,,,,,,,,,,,,,,,,,,,
11/22/04,N,N,N,N,N,Y,N,N,Warrant 187,,,,,,,N, ,,,,,,,,,,,,,,,,,,,,,,,,,
1/26/04,N,N,Y,N,N,N,N,N,21802,148(a)(l),1203.2(a),,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
10/12/04,Y,N,N,N,N,Y,N,N,23103(a),245(a)(l),11351,11352,2800.2,,Y,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,
1/29/04,N,N,Y,N,N,Y,N,Y,2120l(d),l,1550(a),,,,N,N,Y,Y, ,,,,,,,,,,,,,,,,,,,,,,,
11/4/04,N,N,N,N,N,N,N,N,5150 5150,,,,,,N,N, ,,,,,,,,,,,,,,,,,,,,,,,,,
1/30/04,N,N,Y,N,N,N,N,N,415.1,415.1,148(a)(l),,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
12/2/04,N,N,Y,N,N,N,N,Y,488,666/488,466,148(a)(l),3056,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
12/3/04,N,N,Y,N,N,Y,N,N,245,148(a)(l),11364,1203.2,,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
12/4/04,N,N,Y,N,N,N,N,N,415,148(a)(l),,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
12/5/04,Y,N,Y,N,N,Y,N,N,245(a)(l),245(a)(l),148(a)(l),,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
12/7/04,N,N,N,N,N,Y,N,N,Warrant,11377(a),1203.2,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
11/8/04,N,N,N,N,N,N,N,N,5200 23153(a),2000l(a),,2800.3,1085l(a),,Y,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,
2/24/04,Y,N,Y,N,N,.Y,N,N,Suspperson,11377(a),11364,148(a)(l),,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
12/26/04,N,N,Y,N,N,N,N,N,21956,647(f),,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
2/31/2004,N,N,Y,N,N,N,N,N,21453,21453,148(a)(l),,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
1/2/05,N,N,N,N,N,Y,N,N,422,422 273 .6,,2800.2,69,,Y,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,
1/10/05,N,Y,N,N,N,N,N,594(b)(l),594(b)(l),,,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
1/16/05,N,N,21,N,N,N,N,647(f),647(f),,,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
1/17/05,N,N,N,N,N,Y,N,N,12020(a)(4) 12020(a)(4),l,1377(a),,148(a)(l),1203.2(a),Y,N,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,
1/19/05,N,N,21,N,N,Y,N,N,Susp person,148(a)(l),,,,,Y,N,Y,Y, ,,,,,,,,,,,,,,,,,,,,,,,
1/21/05,N,N,Y,N,N,N,N,N,TIC,23152(a)(b) 12500(a),,16028,,,Y,N,Y,Y, ,,,,,,,,,,,,,,,,,,,,,,,
1/21/05,N,N,Y,N,N,N,N,N,21954(a),21954(a),,,,,N,N,Y,Y, ,,,,,,,,,,,,,,,,,,,,,,,
1/21/05,N,N,N,N,N,Y,N,N,Suspperson,647(f) 148(a)(l),,,,,N,N,Y,Y, ,,,,,,,,,,,,,,,,,,,,,,,
1/24/05,Y,N,Y,Y,N,Y,N,Y,10851,496(a) 243(b),,148(a)(l),12316(b)(l,:,Y,Y,Y,Y,Y, ,,,,,,,,,,,,,,,,,,,,,,
1/26/05,N,N,Y,N,N,Y,N,N,470(d),470(d) 148(a)(l),,,,,Y,N,Y,Y, ,,,,,,,,,,,,,,,,,,,,,,,
1/28/05,N,N,N,N,N,Y,N,N,21650.1,,,,,,N,N,Y,Y, ,,,,,,,,,,,,,,,,,,,,,,,
1/29/05,N,N,Y,N,N,Y,N,N,21202(a),11377 4140,,,,,Y,N,Y,Y, ,,,,,,,,,,,,,,,,,,,,,,,
1/30/05,N,N,N,N,Y,N,N,N,415(1),12.l.3(a) 415(1),,,,,N,N,Y,Y, ,,,,,,,,,,,,,,,,,,,,,,,
2/3/05,N,N,Y,N,N,N,N,Y,27315(d),1085l(a) 2800.2,,12500(a),,,N,N,Y,Y, ,,,,,,,,,,,,,,,,,,,,,,,
2/3/05,N,N,Y,N,N,N,N,N,602(L),602(L) 647(f),,3056,,,N,N,Y,Y, ,,,,,,,,,,,,,,,,,,,,,,,
2/4/05,N,N,Y,N,N,Y,N,Y,647(t),148(a)(l) 647(t),,,,,Y,N,Y,Y, ,,,,,,,,,,,,,,,,,,,,,,,
2/4/05,N,N,Y,N,Y,N,N,Y,5200,14601.l(a) 148(a)(l),,1203.2,,,N,N,Y,Y, ,,,,,,,,,,,,,,,,,,,,,,,
2/5/05,Y,N,Y,N,Y,Y,N,N,12.16(b),148(a)(l),,,,,Y,N,Y,Y, ,,,,,,,,,,,,,,,,,,,,,,,
2/5/05,N,N,Y,N,N,N,N,Y,415,647(f) 243(b),,,,,N,N,Y,Y, ,,,,,,,,,,,,,,,,,,,,,,,
2/5/05,N,N,Y,N,. N,N,N,N,Welfare chk 148(a)(l),,,,,,N,N, ,,,,,,,,,,,,,,,,,,,,,,,,,
2/8/05,N,N,Y,N,N,N,N,N,602.l(a) 602.l(a),,,,,,N,N, ,,,,,,,,,,,,,,,,,,,,,,,,,
2/9/05,N,N,Y,N,Y,Â·,Y,N,,911 hang up 135,11364,,148(a)(l),11550,Y,Y,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
2/9/05,Y,N,Y,N,N,Y,N,N,459 11364,148(a)(l),,,,,Y,N, ,,,,,,,,,,,,,,,,,,,,,,,,,
2/13/05,N,N,Y,N,N,N,N,N,415 5150,,,,,,N,N, ,,,,,,,,,,,,,,,,,,,,,,,,,
2/13/05,N,N,Y,N,N,N,N,N,24600 12020(a)(l),,,,,,N,N, ,,,,,,,,,,,,,,,,,,,,,,,,,
2/15/05,N,N,Y,N,N,N,N,5150 5150,,,,,,N,N, ,,,,,,,,,,,,,,,,,,,,,,,,,,
2/19/05,N,N,Y,N,N,N,N,591 591,148(a)(l),,,,,Y,N, ,,,,,,,,,,,,,,,,,,,,,,,,,,
2/21/05,N,N,Y,N,N,N,N,N,415 647(f),,,,,,N,N, ,,,,,,,,,,,,,,,,,,,,,,,,,
2/26/05,N,N,Y,N,N,N,N,N,242 242,647(f),,,,,N,N, ,,,,,,,,,,,,,,,,,,,,,,,,,
2/26/05,N,N,Y,N,N,N,N,Y,487c 148(a)(l),243(b),,487c,,,N,N, ,,,,,,,,,,,,,,,,,,,,,,,,,
3/2/05,N,N,N,N,N,Y,N,N,24400 23152(a)(b) 2800.2(a),,,3056,,,N,N, ,,,,,,,,,,,,,,,,,,,,,,,,,
3/3/05,N,N,N,N,N,Y,N,N,415,,,,,,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,,
3/3/05,Y,N,Y,N,N, N,N,23116(b) 422,148(a)(l),,,,,N,N, ,,,,,,,,,,,,,,,,,,,,,,,,,,
3/5/05,N,N,N,N,N,Y,N,N,374.4(b) 1203.2,,,,,,Y,N, ,,,,,,,,,,,,,,,,,,,,,,,,,
3/5/05,N,N,Y,N,N,N,N,20002(a) 23152(a)(b) 23222(b),,,20002(a),273a(b),,N,N, ,,,,,,,,,,,,,,,,,,,,,,,,,,
3/7/05,N,N,N,N,N,Y,N,N,273.5(a) 273.5(a),148(a)(l),,,,,Y,N, ,,,,,,,,,,,,,,,,,,,,,,,,,
3/7/05,N,N,N,N,N,2l, N,243.2 243.2,148(a)(l),,,,,N,N, ,,,,,,,,,,,,,,,,,,,,,,,,,,
3/8/05,Y,N,Y,N,N,Y,N,N,10851 496(a),2800.2,,148(a)(l),3056,,Y,Y, ,,,,,,,,,,,,,,,,,,,,,,,,,
3/8/05,N,N,Y,N,N,N,N,245(a)(l) 148(a)(l),,,,,,N,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,
3/11/05,N,N,Y,N,N,Y,N,N,415 647(f),148(a)(l),,,,,Y,N, ,,,,,,,,,,,,,,,,,,,,,,,,,
3/12/05,N,N,Y,N,N,N,N,647(f) 148(a)(l),,,,,,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,
3/12/05,N,N,Y,N,N,N,N,N,23152(a)(b) 23152(a)(b),,23224,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
3/12/05,N,N,Y,N,N,N,N,Y,415 148(a)(l),,,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
3/12/05,N,N,Y,N,N,Y,N,N,415 11550,,1203.2,,,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
3/13/05,N,N,Y,N,N,N,N,Y,647(t) 1203.2(a),,647(t),308(b),653(k),,N,N,N, ,,,,,,,,,,,,,,,,,,,,,,,,
3/16/05,N,N,Y,N,N,N,N,N,24600 31,,,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
3/17/05,N,N,N,N,N,N,N,Y,11378 11378,,1202l(a),12001.5,12022(a)(l:,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
3/18/05,N,N,Y,N,N,Y,N,N,415(1) 415(1),,,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
3/27/05,N,N,Y,N,N,N,N,Y,647(t) 647(t),,,,,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
3/29/05,N,N,Y,N,N,Y,N,N,11351.5 11351.5,,148(a)(l),602(0),,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
3/31/05,Y,N,Y,N,Y,N,N,N,22108 23152,,148(a),,,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
3/31/05,N,N,N,N,N,Y,N,N,647(t) 647(t),,,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
4/1/05,Y,N,Y,N,N,Y,N,Y,10851 496(a),,148(a)(l),12500(a),,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
4/1/05,N,N,Y,N,N,Y,N,N,11366 11366,,11364,148(a)(l),,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
4/2/05,N,N,Y,N,N,N,N,N,459 459,,1203.2,148(a),,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
4/3/05,N,N,Y,N,N,N,N,N,21201(d) 11377(a),,,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
4/6/05,N,N,Y,N,N,N,N,N,Shots fired 647(t),,148(a),3056,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
4/7/05,N,N,Y,N,N,Y,N,N,647(t) 647(t),,148(a)(l),,,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
4/7/05,Y,N,Y,N,N,N,N,Y,2120l(d) 148(a)(l),,21201(d),27400,,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
4/7/05,N,N,Y,N,N,N,N,Y,422 647(t),,148(a)(l),25662(b),,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
4/9/05,N,N,Y,N,N,N,N,Y,Mutual,aid,,,,,Y,N,Y,Y, ,,,,,,,,,,,,,,,,,,,,,,,
4/12/05,N,N,Y,N,N,N,N,Y,647(t) 647(t),,,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
4/13/05,N,N,Y,N,N,N,N,Y,5150 5150,,,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
4/13/05,N,N,N,N,N,N,N,N,488,488,,148(a)(l),1203.2,,N,N,Y,Y, ,,,,,,,,,,,,,,,,,,,,,,,
4/14/05,N,N,N,N,N,N,N,N,5200,14601.l(a),,1203.2(a),23103(a),11364,N,N,Y,Y, ,,,,,,,,,,,,,,,,,,,,,,,
4/15/05,N,O,N,N,N,N,N,N,22350,22350,,12500(a),,,N,N,Y,Y, ,,,,,,,,,,,,,,,,,,,,,,,
4/17/05,N,N,Y,N,N,N,N,N,242,5150,,,,,N,N,Y,Y, ,,,,,,,,,,,,,,,,,,,,,,,
4/17/05,N,N,Y,N,N,N,N,N,Shots fired,148(a)(l),,,,,N,N,Y,Y, ,,,,,,,,,,,,,,,,,,,,,,,
4/17/05,N,N,Y,N, N,N,Y,273.5,273.5,,148(a)(l),3056,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
4/21/05,N,N,Y,N,N,N,N,Y,22450,12303.2,,22450,,,N,N,Y,Y, ,,,,,,,,,,,,,,,,,,,,,,,
4/23/05,N,Y,N,N,N,N,N,N,Dog bite,,,,,,N,N,Y,Y, ,,,,,,,,,,,,,,,,,,,,,,,
4/24/05,N,N,Y,N,N,Y,N,N,245(a)(l),245(a)(l),,4140,,,Y,N,Y,Y, ,,,,,,,,,,,,,,,,,,,,,,,
4/29/05,N,N,Y,N,N,N,N,N,374(a),148(a)(l),,647(f),,,N,N,Y,Y, ,,,,,,,,,,,,,,,,,,,,,,,
4/29/05,N,N,Y,N,N,N,N,N,l,1350(a),148(a)(l},,,,N,N,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,
5/1/05,N,N,Y,N,N,N,N,N,415,242,,,,,N,N,Y,Y, ,,,,,,,,,,,,,,,,,,,,,,,
5/3/05,N,N,Y,N,N,N,N,N,415.2,415.2,,,,,N,N,Y,Y, ,,,,,,,,,,,,,,,,,,,,,,,
5/4/05,N,N,N,N,N,Y,N,N,11532,11359,,11532,330,,Y,N,Y,Y, ,,,,,,,,,,,,,,,,,,,,,,,
5/7/05,N,N,Y,N,N,N,N,Y,246.3,148(a)(l),,,,,Y,N,Y,Y, ,,,,,,,,,,,,,,,,,,,,,,,
5/14/05,N,N,N,N,Y,N,N,415,243(b),,,,,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
5/18/05,N,N,Y,N,N,N,N,Y,Susp. Person,647{f),,,,,N,N,Y,Y, ,,,,,,,,,,,,,,,,,,,,,,,
5/23/05,N,N,N,N,N,N,Y,N,N,5150,555,,,,Y,N,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,
5/27/05,N,N,Y,N,N,N,N, :earch warran 148(a)(l),,,,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
5/30/05,N,N,N,Y,N,N,N,N,Warrant,,,,,,Y,N,Y,Y, ,,,,,,,,,,,,,,,,,,,,,,,
6/1/05,N,N,N,N,N,Y,N, 245(a)(I),245(a){l),,,,,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
6/2/05,N,N,Y,N,N,Y,N,22350,11377(a),,2800.1,3056,,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
6/6/05,N,N,Y,N,N,Y,N,N,496(a) l,1377(a),496(a),10851,,11364,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
6/10/05,N,N,Y,N,N,N,N,N,Warrant,,,,,N,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,
6/14/05,N,N,Y,N,N,N,N,Y,261 647(f),594(b)(2),,,,N,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,
6/18/05,N,N,Y,N,N,Y,N,N,22350 3056,496(a),466,,475(a),2800.2(a) Y,Y,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,
6/18/05,Y,N,Y,N,N,N,N,N,5150 5150,,,,,N,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,
6/19/05,N,N,Y,N,N,Y,N,Y,12.800 12.800,12020(a),243(b),,11550,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,
6/26/05,N,N,Y,N,N,N,N,Y,415 148.9,148(a)(l),,,,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,
6/30/05,N,N,Y,N,N,N,N,N,273.5 273.5,148(a)(l),,,,N,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,
7/2/05,N,N,Y,N,N,N,N,Y,415 148(a)(l),,,,,N,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,
7/2/05,Y,N,Y,N,N,Y,N,N,Suspperson 466,,,,,Y,Y,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,
7/3/05,N,N,Y,N,N,N,N,Y,2120l(d) 11364,243(b),148(a)(l),,,N,N,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,
7/3/05,N,N,Y,N,N,N,N,N,12.800 594(b)(l),647(f),,,,N,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,
7/4/05,N,N,Y,N,N,N,N,Y,Susp person 5150,,,,,N,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,
7/4/05,N,N,N,N,N,Y,N,N,Welfare chk l,1377(a),1203.2,11364,,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
7/8/05,N,N,Y,N,N,Y,N,N,415 23152(a)(b),417(a)(l),242,,12500(a),Y,Y,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,
7/10/05,N,N,Y,N,N,Y,N,N,273.5 210.5,236,273.5,,273.6,417(a)(l) Y,Y,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/05,N,N,Y,N,N,Y,N,N,5150 5150,,,,,Y,Y,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,
7/16/05,N,N,Y,N,N,N,N,N,415 148(a)(l),,,,,N,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,
7/16/05,N,N,N,N,N,Y,N,N,TIC 23152(a)(b),,,,,Y,Y,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,
7/18/05,N,N,Y,N,N,N,N,Y,243(e)(l),,,,,N,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,
7/19/05,N,N,Y,N,N,Y,N,N,24252(a) 245(d)(l),1202l(a)(l)l2316(b)(l),,,12025(b),1203l(f) Y,Y,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,
7/20/05,Y,N,N,N,N,Y,N,N,415 11351,148(a)(l),648,,,Y,Y,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/05,N,N,Y,N,N,Y,N,N,417.4,647(t),,,,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
7/25/05,N,N,Y,N,N,N,N,N,warrant,148(a)(l),,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
7/27/05,N,N,Y,Y,N, N,273.5,273.5,148(a)(l),11350(a),,,Y,Y,Y,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,
7/28/05,N,N,Y,N,N,N, N,21456(b),148(a)(l),2800(a),,,,N,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,
7/31/05,N,N,Y,N,N,Y,N,N,273(a),11550,148(a)(l},273(a),,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
7/31/05,Y,N,N,N,N,N, N,10852,148(a)(l),,,,,Y,Y,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,
8/6/05,N,N,Y,Y,N,Y,N,N,211,459,594(b}(l},148(a)(l),,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/05,Y,N,Y,N,N,Y, .N,647(t),2800.1,23152(a),148(a)(l),,,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,
8/16/05,Y,N,Y,N,N,Y,N,243(e)(l),243(e)(l),148(a)(l),,,,Y,Y,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,
8/19/05,N,N,N,N,N,Y,N,N,273.5,273.5,245,422,148(a)(l),,Y,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,
8/20/05,N,N,Y,N,N,N,N,20002(a),23152(a)(b),20002(a),243(b),69,,3056,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
8/21/05,N,N,Y,N,N,Y,N,N,273.5(a),273.5(a),591,148(a}(l},,,N,N,21,,,,,,,,,,,,,,,,,,,,,,,,,
8/23/05,N,N,Y,N,N,N,N,N,470(d),470(d),530.5,11364,,, N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,,
8/23/05,N,N,N,N,N,Y,N,N,10851(a),1085,l(a),496(a),182(a}(l},,Y,N,Y,Y, ,,,,,,,,,,,,,,,,,,,,,,,
8/26/05,N,N,N,N,N,Y,N,N,273.5,273.5,,,,,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,
9/2/05,N,N,N,N,N,N,N,N,Susp person,647(t),,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
9/3/05,N,N,Y,N,N,N,N,N,415(1),242,415(1),,,,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,,
9/3/05,N,N,Y,0,N,N,N,N,415(1),415(1),148(a)(l),,,,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,,
9/3/05,N,N,Y,N,N,N,N,Y,415(1),1210l(b}(l},404.6(a),415(1),148(a)(l},,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
9/4/05,N,N,N,N,N,Y,N,N,,Suspperson,148(a)(l},,,,Y,Y,Y,Y, ,,,,,,,,,,,,,,,,,,,,,,,
9/12/05,N,N,N,N,N,Y,N,N,Mutual,aid,,,,,Y,N,N,N, ,,,,,,,,,,,,,,,,,,,,,,,
9/14/05,N,N,Y,N,N,N,N,N,11532,11378,11377,3056,148(a)(l),,N,N,N, ,,,,,,,,,,,,,,,,,,,,,,,,
9/14/05,N,N,Y,N,N,N,N,Y,417(a)(l) 417(a}(l},242,,148(a)(l),1203.2,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
9/15/05,N,N,Y,N,N,N,N,415.5 243(b),148(a)(l),,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,,
9/17/05,N,N,Y,N,N,N,N,N,415 148(a}(l),,,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
9/20/05,N,N,Y,N,N,N,N,N,647(f) 647(f),,,,,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
9/20/05,N,N,Y,N,N,N,N,N,415.2 415.2,,,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
