Date,Baton,Gun,Hands,K9,OC,Taser,Sage,Misc,Nature of Case,Violation Charged #1,#2,#3,#4,#5,SNspect INjNred,Officer Injured,Proper Procedure,,,,,,,,,,,,,,,,,,,,,,,,,
3/2/04,N,N,Y,N,N,N,N,Y,459,459,,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
3/4/04,N,N,N,N,N,Y,N,N,21235(g),148,,,,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
3/5/04,N,N,Y,N,Y,N,N,N,415,148.9,,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
3/5/04,Y,N,Y,Y,N,N,N,N,166(a)(4),11550,166(a)(4),148(a)(l),243(b),,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
3/8/04,N,N, N,N,Y,N,N,24252,,,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,,
3/12/04,N,N,Y,N,N,Y,N,N,Warrant,243Â©,148(a)(l),148(b),,,N,Y,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
3/15/04,N,N,Y,N,N,Y,N,N,Warrant,148(a)(l),242,777(a)(2),,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
3/16/04,N,N,Y,N,N,N,N,Y,242,5150,,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
3/17/04,Y,N,Y,N,N,Y,N,N,22350,3056,11351.5,l,1352(a),,Y,N,Y,Y, ,,,,,,,,,,,,,,,,,,,,,,,
3/19/04,N,N,Y,N,N,N,N,Y,5200,11352(a),,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
3/19/04,Y,N,Y,N,N,N,N,Y,4.9.3 co,135,148(a)(l),,,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
3/20/04,N,N,Y,N,N,N,N,N,415,148(a)(l),,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
3/20/04,N,N,Y,N,N,Y,N,N,415,148(a)(l),,,,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
3/21/04,N,N,Y,u,N,N,N,N,Security chk,11364,148(a)(l),3056,,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
3/25/04,N,N,N,N,N,Y,N,Y,Mutual,aid,10851,,,,Y,N,Y,Y, ,,,,,,,,,,,,,,,,,,,,,,,
3/2612004,N,N,Y,N,N,N,N,N,N,Warrant,11352(a),182(a)(l),,,N,N,Y,Y, ,,,,,,,,,,,,,,,,,,,,,,,
0/00/0000,N,N,Y,N,N,N,N,Y,415,69,594(b)(l),594(2)(a),242,148(a)(l),N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
4/2/04,N,N,Y,N,N,Y,N,N,2180l(a),3056,11377(a),11364,14601.1,2180l(a),N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
4/2/04,Y,N,N,N,N,N,N,N,Mutual,aid,647(1),148(a)(l),3056,,Y,N,Y,Y, ,,,,,,,,,,,,,,,,,,,,,,,
4/5/04,N,N,Y,N,N,N,N,N,22450,148(a)(l),11364,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
4/8/04,N,N,Y,N,N,Y,N,N,602(L),602(L),148(a)(l),,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
4/8/04,N,N,Y,N,N,Y,N,Y,273.5,647(1),148(a)(l),,,, Y, ,,,,,,,,,,,,,,,,,,,,,,,,,,
4/9/04,N,N,Y,N,N,N,N,N,12500(a) 12500(a),,148(a)(l),,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
4/10/04,N,N,Y,N,N,N,N,N,415 647(f),,243(b),,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
4/10/04,N,N,Y,N,Y,N,N,N,12.17(b) CO 148(a)(l),,,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
4/12/04,N,N,N,N,N,N,N,Y,459 594(b)(l),,602(m),,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
1.3/2004,N,N,Y,N,N,N,N,N,Mutual,aid,,,,,N,N,Y,Y, ,,,,,,,,,,,,,,,,,,,,,,,
1/7/04,N,N,Y,N,N,N,N,N,22350 71,,148(aXl),135,12500(a),,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,
4/17/04,N,N,N,N,N,N,N,Y,415(2) 415(2),,,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
17/2004,N,N,Y,N,N,N,N,Y,Mutual,aid,,,,,N,N,Y,Y, ,,,,,,,,,,,,,,,,,,,,,,,
4/18/04,N,N,N,N,N,Y,N,N,23152(a)(b) 23152(a)(b),,20002(a),,,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
4/18/04,N,N,Y,N,N,N,N,N,415 647(f),,,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
4/20/04,N,N,Y,N,N,N,N,Y,21658(a) 23152(a),,243(b),1203.2(a),21658(a),,Y,Y,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
4/21/04,Y,N,Y,N,N,N,N,N,5204 11377(a),,135,148(a)(l),3056,,Y,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,
4/21/04,N,N,Y,N,N,N,N,5150 5150,,,,,,N,N,Y, ,,,,,,,,,,,,,,,,,,,,,,,,,
