Date,Baton,Gun,Hands,K9,OC,Taser,Sage,SNspect INjNred,Officer Injured
8/26/05,N,N,N,N,N,Y,N,N,N
9/2/05,N,N,N,N,N,N,N,N,N
9/3/05,N,N,Y,N,N,N,N,N,Y
9/3/05,N,N,Y,N,N,N,N,N,Y
9/3/05,N,N,Y,N,N,N,N,N,N
9/4/05,N,N,N,N,N,Y,N,Y,Y
9/12/05,N,N,N,N,N,Y,N,Y,N
9/14/05,N,N,Y,N,N,N,N,N,N
9/14/05,N,N,Y,N,N,N,N,Y,N
9/15/05,N,N,Y,N,N,N,N,N,Y
9/17/05,N,N,Y,N,N,N,N,N,N
9/20/05,N,N,Y,N,N,N,N,Y,N
9/20/05,N,N,Y,N,N,N,N,N,N
9/24/05,N,N,N,N,N,Y,N,Y,N
9/24/05,N,N,Y,N,N,N,N,N,N
9/28/05,N,N,Y,N,Y,N,N,N,N
10/1/05,N,N,Y,N,N,N,N,N,N
10/1/05,N,N,N,N,N,Y,N,N,N
10/5/05,N,N,Y,N,N,N,N,N,N
10/5/05,N,N,Y,N,Y,N,N,N,N
10/6/05,N,N,Y,N,N,N,N,N,N
10/6/05,N,N,Y,N,N,Y,N,Y,N
10/10/05,N,N,Y,N,N,N,N,N,N
10/13/05,N,N,N,N,N,Y,N,Y,N
10/17/05,N,N,Y,N,N,N,N,N,N
10/19/05,N,N,N,N,N,Y,N,N,N
10/21/05,N,N,Y,N,N,N,N,N,N
10/23/05,N,N,Y,N,N,Y,N,Y,Y
10/26/05,N,N,Y,N,N,Y,N,Y,N
10/27/05,N,N,N,N,N,N,Y,Y,N
10/28/05,N,N,Y,n,N,N,N,Y,N
10/30/05,N,N,Y,N,N,N,N,N,Y
10/31/05,N,N,Y,N, N,N,Y,N,Y
10/31/05,N,N,Y,Y,N,Y,N,Y,N
11/1/05,N,N,Y,N,N,Y,Y,Y,N
11/1/05,N,N,Y,N,N,N,N,N,N
11/6/05,N,N,N,N,N,Y,N,N,N
11/9/05,N,N,N,N,N,Y,N,Y,N
11/11/05,Y,N,Y,N,N,Y,N,Y,N
11/16/05,N,N,Y,Y,N,N,N,Y,Y
11/16/05,N,N,Y,N,N,N,N,N,N
11/20/05,N,N,N,N,N,Y,N,N,N
11/28/05,N,N,Y,N,N,Y,N,Y,N
11/28/05,N,N,Y,N,N,N, N,N,Y
12/3/05,N,N,Y,N,N,N,N,N,Y
12/4/05,N,N,Y,N,N, N,N,N,Y
12/7/05,N,N,Y,N, N,N,N,N,Y
12/8/05,N,N,Y,N,Y,N,N,Y,N
12/11/05,N,N,Y,N,N,N,N,N,N
12/14/05,Y,N,N,N,N,Y, N,N,Y
12/17/05,N,N,N,N,N,N,N,N,N
12/17/05,N,N,Y,N,N,Y,N,N,N
12/19/05,N,N,Y,N,N,N,N,N,N
12/23/05,N,N,Y,N,N,N,N,Y,N
12/25/05,N,N,Y,N,N,Y,N,Y,N
12/27/05,N,N,Y,N,N,Y,N,Y,N
12/29/05,N,N,N,N,Y,N,N,N,N
12/31/05,N,N,Y,N,N,N,N,Y,N
12/31/05,N,N,Y,N,N,Y,N,Y,N
1/1/06,N,N,Y,N,N,N,N,N,N
1/2/06,N,N,N,N,N,Y,N,N,N
1/5/06,N,N,Y,N,N,N,N,N,N
1/8/06,N,N,Y,N,N,Y,N,Y,N
1/9/06,N,N,Y,N,N,Y,N,N,N
1/12/06,N,N,Y,N,N,N,N,N,N
1/13/06,Y,N,Y,N,N,Y,N,Y,N
1/19/06,N,N,Y,N,N,N,N,N,N
1/19/06,N,N,Y,N,N,N,N,N,N
1/24/06,N,N,N,N,N,Y,N,N,N
1/24/06,Y,N,N,Y,N,Y,N,Y,Y
1/26/06,N,N,Y,N,N,N,N,N,N
1/28/06,Y,N,Y,N,N,Y,N,Y,N
2/1/06,N,N,Y,N,N,Y,N,Y,Y
2/2/06,N,N,N,N,N,Y,N,Y,N
2/9/06,N,N,Y,N,N,N,N,N,N
2/9/06,N,N,Y,N,N,Y,N,Y,N
2/13/06,Y,N,N,N,N,N,N,Y,Y
2/13/06,N,N,N,N,N,Y,N,Y,N
2/15/06,N,N,Y,N,N,Y,N,Y,Y
2/16/06,N,N,Y,N,N,Y,N,N,N
2/18/06,N,N,N,N,N,Y,N,Y,N
2/19/06,N,N,Y,N,N,N,N,N,N
2/20/06,N,N,Y,N,Y,N,N,N,N
2/22/06,N,N,Y,N,N,N,N,Y,Y
2/23/06,Y,N,Y,N,N,Y,N,Y,Y
2/25/06,N,N,Y,N,N,Y,N,N,N
2/28/06,N,N,Y,N,N,N,N,Y,Y
2/28/06,N,N,Y,N,N,N,N,N,N
3/2/06,N,N,Y,N,N,N,N,N,N
3/3/06,N,N,Y,N,N,Y,N,N,N
3/7/06,N,N,Y,N,N,N,N,Y,N
3/7/06,N,N,Y,N,N,N,N,N,N
3/7/06,N,N,Y,N,N,N,N,N,N
3/8/06,N,N,Y,N,N,N,N,Y,N
3/13/06,N,N,Y,N,N,N,N,Y,N
3/18/06,N,N,N,N,Y,N,N,N,N
3/18/06,Y,N,Y,N,N,Y,N,Y,N
3/18/06,N,N,Y,N,N,Y,N,N,N
3/19/06,N,N,Y,N,N,N,N,N,N
3/20/06,N,N,Y,N,N,N,N,N,N
3/21/06,N,N,Y,N,N,Y,N,Y,N
3/25/06,N,N,Y,N,N,Y,N,Y,N
4/2/06,N,N,Y,N,N,N,N,N,N
4/3/06,N,N,N,N,N,Y,N,Y,N
4/3/06,N,N,Y,N,N,N,N,N,N
4/4/06,N,N,Y,N,N,N,N,N,N
4/4/06,N,N,Y,N,N,N,N,N,N
4/7/06,N,N,Y,N,N,Y,N,Y,N
4/11/06,N,N,N,N,N,Y,N,Y,N
4/12/06,N,N,Y,N,N,Y,N,N,N
4/12/06,N,N,Y,N,N,N,N,Y,N
4/13/06,N,N,Y,N,N,N,N,Y,N
4/15/06,N,N,Y,N,N,N,N,N,N
4/18/06,N,N,N,Y,N,Y,N,Y,N
4/19/06,N,N,N,N,N,Y,N,Y,N
4/19/06,N,N,Y,N,N,N,N,N,N
4/19/06,N,N,Y,N,N,N,N,Y,N
4/20/06,N,N,N,N,N,Y,N,Y,N
4/22/06,N,N,Y,N,N,N,N,Y,N
4/22/06,N,N,Y,N,N,N,N,Y,N
4/25/06,N,N,N,N,N,Y,N,N,N
4/26/06,N,N,Y,N,N,N,N,N,Y
4/28/06,N,N,N,N,N,Y,N,Y,N
4/28/06,N,N,Y,N,N,N,N,N,Y
5/3/06,Y,N,Y,N,N,Y,N,Y,N
5/3/06,N,N,Y,N,N,Y,N,N,N
5/3/06,Y,N,Y,N,N,Y,N,Y,Y
5/6/06,N,N,Y,N,N,N,N,N,N
5/8/06,N,N,Y,N,N,Y,N,Y,N
5/8/06,Y,N,N,N,N,N,N,N,Y
5/13/06,N,N,N,N,N,N,N,Y,N
5/14/06,N,N,Y,N,N,N,N,N,N
5/15/06,N,N,Y,N,N,N,N,N,Y
5/16/06,N,N,Y,N,N,N,N,N,Y
5/18/06,N,N,Y,N,N,N,N,N,N
5/18/06,N,N,N,N,N,N,N,N,N
5/22/06,N,N,N,N,N,N,N,Y,N
5/23/06,N,N,Y,N,N,N,N,Y,N
5/24/06,N,N,Y,N,N,N,N,N,N
5/27/06,N,N,N,N,N,Y,N,Y,N
5/30/06,N,N,N,N,N,N,N,N,N
6/1/06,N,N,N,N,N,N,N,N,N
6/1/06,N,N,N,N,N,N,N,N,N
6/3/06,Y,N,Y,N,N,N,N,N,Y
6/5/06,N,N,N,Y,N,N,N,N,Y
6/6/06,N,N,N,N,N,N,Y,Y,N
6/6/06,N,N,N,Y,N,N,Y,N,N
6/10/06,Y,N,N,N, N,N,N,Y,N
6/10/06,N,N,N,Y,N,N,N,Y,N
6/11/06,N,N,N,Y,N,N,N,N,N
6/14/06,N,N,Y,N,N,N,N,Y,N
6/15/06,Y,N,Y,N, Y,N,N,Y,N
6/16/06,N,N,N,Y,N,N,N,N,N
6/18/06,N,N,N,N,N, N,Y,N,N
