Date,Baton,Gun,Hands,K9,OC,Taser,Sage,Suspect Injured,Officer Injured,Day,Month,Year
2005-06-06,0,0,1,0,0,1,0,1,0,6,6,2005
2005-06-10,0,0,1,0,0,0,0,0,0,10,6,2005
2005-06-14,0,0,1,0,0,0,0,0,0,14,6,2005
2005-06-18,0,0,1,0,0,1,0,1,0,18,6,2005
2005-06-18,1,0,1,0,0,0,0,0,0,18,6,2005
2005-06-19,0,0,1,0,0,1,0,1,1,19,6,2005
2005-06-26,0,0,1,0,0,0,0,1,1,26,6,2005
2005-06-30,0,0,1,0,0,0,0,0,0,30,6,2005
2005-07-02,0,0,1,0,0,0,0,0,0,2,7,2005
2005-07-02,1,0,1,0,0,1,0,1,0,2,7,2005
2005-07-03,0,0,1,0,0,0,0,0,1,3,7,2005
2005-07-03,0,0,1,0,0,0,0,0,0,3,7,2005
2005-07-04,0,0,1,0,0,0,0,0,0,4,7,2005
2005-07-04,0,0,0,0,0,1,0,1,0,4,7,2005
2005-07-08,0,0,1,0,0,1,0,1,0,8,7,2005
2005-07-10,0,0,1,0,0,1,0,1,0,10,7,2005
2005-07-14,0,0,1,0,0,1,0,1,0,14,7,2005
2005-07-16,0,0,1,0,0,0,0,0,0,16,7,2005
2005-07-16,0,0,0,0,0,1,0,1,0,16,7,2005
2005-07-18,0,0,1,0,0,0,0,0,0,18,7,2005
2005-07-19,0,0,1,0,0,1,0,1,0,19,7,2005
2005-07-20,1,0,0,0,0,1,0,1,0,20,7,2005
2005-07-22,0,0,1,0,0,1,0,1,0,22,7,2005
2005-07-25,0,0,1,0,0,0,0,0,0,25,7,2005
2005-07-27,0,0,1,1,0,0,0,1,0,27,7,2005
2005-07-28,0,0,1,0,0,0,0,0,0,28,7,2005
2005-07-31,0,0,1,0,0,1,0,1,0,31,7,2005
2005-07-31,1,0,0,0,0,0,0,1,0,31,7,2005
2005-08-06,0,0,1,1,0,1,0,1,1,6,8,2005
2005-08-13,1,0,1,0,0,1,0,1,1,13,8,2005
2005-08-16,1,0,1,0,0,1,0,1,0,16,8,2005
2005-08-19,0,0,0,0,0,1,0,1,1,19,8,2005
2005-08-20,0,0,1,0,0,0,0,0,0,20,8,2005
2005-08-21,0,0,1,0,0,1,0,0,0,21,8,2005
2005-08-23,0,0,1,0,0,0,0,0,1,23,8,2005
2005-08-23,0,0,0,0,0,1,0,1,0,23,8,2005
2005-08-26,0,0,0,0,0,1,0,0,0,26,8,2005
2005-09-02,0,0,0,0,0,0,0,0,0,2,9,2005
2005-09-03,0,0,1,0,0,0,0,0,1,3,9,2005
2005-09-03,0,0,1,0,0,0,0,0,1,3,9,2005
2005-09-03,0,0,1,0,0,0,0,0,0,3,9,2005
2005-09-04,0,0,0,0,0,1,0,1,1,4,9,2005
2005-09-12,0,0,0,0,0,1,0,1,0,12,9,2005
2005-09-14,0,0,1,0,0,0,0,0,0,14,9,2005
2005-09-14,0,0,1,0,0,0,0,1,0,14,9,2005
2005-09-15,0,0,1,0,0,0,0,0,1,15,9,2005
2005-09-17,0,0,1,0,0,0,0,0,0,17,9,2005
2005-09-20,0,0,1,0,0,0,0,1,0,20,9,2005
2005-09-20,0,0,1,0,0,0,0,0,0,20,9,2005
2005-09-24,0,0,0,0,0,1,0,1,0,24,9,2005
2005-09-24,0,0,1,0,0,0,0,0,0,24,9,2005
